,Artists,Links
0,The Beatles,https://www.azlyrics.com/b/beatles.html
1,Elvis Presley,https://www.azlyrics.com/e/elvis.html
2,Michael Jackson,https://www.azlyrics.com/j/jackson.html
3,Madonna,https://www.azlyrics.com/m/madonna.html
4,Elton John,https://www.azlyrics.com/j/john.html
5,Led Zeppelin,https://www.azlyrics.com/l/ledzeppelin.html
6,Pink Floyd,https://www.azlyrics.com/p/pinkfloyd.html
7,Rihanna,https://www.azlyrics.com/r/rihanna.html
8,Eminem,https://www.azlyrics.com/e/eminem.html
9,Mariah Carey,https://www.azlyrics.com/m/mariahcarey.html
10,Queen,https://www.azlyrics.com/q/queen.html
11,Celine Dion,https://www.azlyrics.com/d/dion.html
12,Whitney Houston,https://www.azlyrics.com/h/houston.html
13,AC/DC,https://www.azlyrics.com/a/acdc.html
14,The Rolling Stones,https://www.azlyrics.com/r/rollingstones.html
15,ABBA,https://www.azlyrics.com/a/abba.html
16,Taylor Swift,https://www.azlyrics.com/t/taylorswift.html
17,Garth Brooks,https://www.azlyrics.com/b/brooks.html
18,Eagles,https://www.azlyrics.com/e/eagles.html
19,U2,https://www.azlyrics.com/u/u2band.html
20,Billy Joel,https://www.azlyrics.com/b/billyjoel.html
21,Phil Collins,https://www.azlyrics.com/c/collins.html
22,Aerosmith,https://www.azlyrics.com/a/aerosmith.html
23,Frank Sinatra,https://www.azlyrics.com/f/franksinatra.html
24,Barbra Streisand,https://www.azlyrics.com/b/barbrastreisand.html
25,Justin Bieber,https://www.azlyrics.com/j/justinbieber.html
26,Bruno Mars,https://www.azlyrics.com/b/brunomars.html
27,Ed Sheeran,https://www.azlyrics.com/e/edsheeran.html
28,Kanye West,https://www.azlyrics.com/w/west.html
29,Bruce Springsteen,https://www.azlyrics.com/s/springsteen.html
30,Metallica,https://www.azlyrics.com/m/metallica.html
31,Bee Gees,https://www.azlyrics.com/b/beegees.html
32,Lady Gaga,https://www.azlyrics.com/l/ladygaga.html
33,Katy Perry,https://www.azlyrics.com/k/katyperry.html
34,Adele,https://www.azlyrics.com/a/adele.html
35,Jay-Z,https://www.azlyrics.com/j/jayz.html
36,Lil Wayne,https://www.azlyrics.com/l/lilwayne.html
37,Bon Jovi,https://www.azlyrics.com/b/bonjovi.html
38,Beyonce,https://www.azlyrics.com/k/knowles.html
39,Linkin Park,https://www.azlyrics.com/l/linkinpark.html
40,Coldplay,https://www.azlyrics.com/c/coldplay.html
41,Britney Spears,https://www.azlyrics.com/s/spears.html
